date,CUSR0000SEGA
1986-01-01,7.6
1986-02-01,7.7
1986-03-01,7.7
1986-04-01,7.8
1986-05-01,7.8
1986-06-01,7.8
1986-07-01,7.9
1986-08-01,7.9
1986-09-01,8.0
1986-10-01,8.0
1986-11-01,8.1
1986-12-01,8.1
1987-01-01,8.1
1987-02-01,8.2
1987-03-01,8.3
1987-04-01,8.3
1987-05-01,8.3
1987-06-01,8.4
1987-07-01,8.4
1987-08-01,8.5
1987-09-01,8.6
1987-10-01,8.6
1987-11-01,8.7
1987-12-01,8.7
1988-01-01,8.8
1988-02-01,8.9
1988-03-01,9.0
1988-04-01,9.0
1988-05-01,9.1
1988-06-01,9.1
1988-07-01,9.2
1988-08-01,9.3
1988-09-01,9.4
1988-10-01,9.4
1988-11-01,9.5
1988-12-01,9.5
1989-01-01,9.8
1989-02-01,9.9
1989-03-01,10.0
1989-04-01,10.1
1989-05-01,10.2
1989-06-01,10.4
1989-07-01,10.5
1989-08-01,10.6
1989-09-01,10.6
1989-10-01,10.7
1989-11-01,10.7
1989-12-01,10.9
1990-01-01,10.9
1990-02-01,11.0
1990-03-01,11.0
1990-04-01,11.1
1990-05-01,11.1
1990-06-01,11.4
1990-07-01,11.7
1990-08-01,11.7
1990-09-01,11.8
1990-10-01,11.8
1990-11-01,11.9
1990-12-01,12.1
1991-01-01,12.3
1991-02-01,12.3
1991-03-01,12.4
1991-04-01,12.5
1991-05-01,12.5
1991-06-01,12.8
1991-07-01,12.8
1991-08-01,12.9
1991-09-01,13.0
1991-10-01,13.1
1991-11-01,13.3
1991-12-01,13.4
1992-01-01,13.3
1992-02-01,13.4
1992-03-01,13.5
1992-04-01,13.5
1992-05-01,13.8
1992-06-01,13.8
1992-07-01,13.9
1992-08-01,13.9
1992-09-01,14.2
1992-10-01,14.3
1992-11-01,14.2
1992-12-01,14.5
1993-01-01,14.7
1993-02-01,14.8
1993-03-01,14.9
1993-04-01,15.0
1993-05-01,15.0
1993-06-01,14.8
1993-07-01,14.9
1993-08-01,14.3
1993-09-01,13.6
1993-10-01,13.6
1993-11-01,13.6
1993-12-01,13.6
1994-01-01,13.7
1994-02-01,13.7
1994-03-01,13.7
1994-04-01,13.8
1994-05-01,13.8
1994-06-01,13.9
1994-07-01,14.0
1994-08-01,14.0
1994-09-01,13.9
1994-10-01,14.0
1994-11-01,14.0
1994-12-01,14.0
1995-01-01,14.0
1995-02-01,14.0
1995-03-01,14.0
1995-04-01,14.1
1995-05-01,14.2
1995-06-01,14.3
1995-07-01,14.3
1995-08-01,14.3
1995-09-01,14.4
1995-10-01,14.4
1995-11-01,14.4
1995-12-01,14.4
1996-01-01,14.5
1996-02-01,14.5
1996-03-01,14.6
1996-04-01,14.5
1996-05-01,14.7
1996-06-01,14.7
1996-07-01,14.7
1996-08-01,14.7
1996-09-01,14.8
1996-10-01,14.8
1996-11-01,14.9
1996-12-01,14.8
1997-01-01,14.9
1997-02-01,15.0
1997-03-01,15.0
1997-04-01,15.3
1997-05-01,15.4
1997-06-01,15.2
1997-07-01,15.3
1997-08-01,15.4
1997-09-01,15.5
1997-10-01,15.8
1997-11-01,15.8
1997-12-01,15.8
1998-01-01,16.0
1998-02-01,16.5
1998-03-01,16.0
1998-04-01,16.6
1998-05-01,17.0
1998-06-01,16.8
1998-07-01,17.2
1998-08-01,17.3
1998-09-01,17.9
1998-10-01,18.0
1998-11-01,17.7
1998-12-01,20.9
1999-01-01,22.3
1999-02-01,22.0
1999-03-01,21.2
1999-04-01,22.1
1999-05-01,21.8
1999-06-01,21.6
1999-07-01,22.4
1999-08-01,22.1
1999-09-01,23.6
1999-10-01,23.5
1999-11-01,23.3
1999-12-01,23.3
2000-01-01,23.7
2000-02-01,24.2
2000-03-01,24.4
2000-04-01,25.5
2000-05-01,24.8
2000-06-01,24.5
2000-07-01,25.3
2000-08-01,24.9
2000-09-01,25.7
2000-10-01,25.0
2000-11-01,25.9
2000-12-01,25.0
2001-01-01,25.5
2001-02-01,25.8
2001-03-01,25.7
2001-04-01,26.7
2001-05-01,26.4
2001-06-01,26.5
2001-07-01,27.8
2001-08-01,26.8
2001-09-01,28.0
2001-10-01,27.1
2001-11-01,28.2
2001-12-01,27.2
2002-01-01,27.3
2002-02-01,28.3
2002-03-01,27.3
2002-04-01,29.1
2002-05-01,28.3
2002-06-01,29.5
2002-07-01,29.5
2002-08-01,30.2
2002-09-01,30.6
2002-10-01,29.7
2002-11-01,29.7
2002-12-01,29.8
2003-01-01,29.8
2003-02-01,29.8
2003-03-01,29.5
2003-04-01,29.5
2003-05-01,29.4
2003-06-01,29.2
2003-07-01,29.6
2003-08-01,29.7
2003-09-01,29.6
2003-10-01,29.6
2003-11-01,29.6
2003-12-01,29.7
2004-01-01,29.8
2004-02-01,29.8
2004-03-01,29.9
2004-04-01,29.8
2004-05-01,29.9
2004-06-01,30.0
2004-07-01,30.3
2004-08-01,30.4
2004-09-01,30.4
2004-10-01,30.4
2004-11-01,30.4
2004-12-01,30.6
2005-01-01,31.1
2005-02-01,31.3
2005-03-01,31.3
2005-04-01,31.3
2005-05-01,31.4
2005-06-01,31.4
2005-07-01,31.7
2005-08-01,31.9
2005-09-01,32.2
2005-10-01,32.1
2005-11-01,32.2
2005-12-01,32.4
2006-01-01,32.5
2006-02-01,32.5
2006-03-01,32.7
2006-04-01,32.7
2006-05-01,32.6
2006-06-01,32.9
2006-07-01,32.9
2006-08-01,32.9
2006-09-01,32.8
2006-10-01,32.9
2006-11-01,32.8
2006-12-01,33.2
2007-01-01,34.269
2007-02-01,34.611
2007-03-01,34.682
2007-04-01,34.533
2007-05-01,34.662
2007-06-01,34.827
2007-07-01,34.932
2007-08-01,35.01
2007-09-01,35.288
2007-10-01,35.351
2007-11-01,35.435
2007-12-01,35.733
2008-01-01,36.111
2008-02-01,36.271
2008-03-01,36.25
2008-04-01,36.343
2008-05-01,36.647
2008-06-01,37.197
2008-07-01,37.63
2008-08-01,37.667
2008-09-01,37.681
2008-10-01,37.817
2008-11-01,37.822
2008-12-01,38.0
2009-01-01,38.3
2009-02-01,38.562
2009-03-01,42.82
2009-04-01,46.815
2009-05-01,46.681
2009-06-01,47.057
2009-07-01,48.106
2009-08-01,48.151
2009-09-01,48.621
2009-10-01,48.79
2009-11-01,49.28
2009-12-01,49.423
2010-01-01,49.479
2010-02-01,49.507
2010-03-01,49.778
2010-04-01,50.026
2010-05-01,50.664
2010-06-01,50.977
2010-07-01,51.391
2010-08-01,51.683
2010-09-01,51.715
2010-10-01,51.733
2010-11-01,51.823
2010-12-01,52.092
2011-01-01,52.058
2011-02-01,52.313
2011-03-01,52.553
2011-04-01,52.494
2011-05-01,52.402
2011-06-01,52.45
2011-07-01,52.257
2011-08-01,52.599
2011-09-01,52.937
2011-10-01,53.067
2011-11-01,53.254
2011-12-01,53.303
2012-01-01,53.447
2012-02-01,53.456
2012-03-01,53.441
2012-04-01,53.651
2012-05-01,53.687
2012-06-01,53.734
2012-07-01,53.911
2012-08-01,53.898
2012-09-01,53.994
2012-10-01,54.045
2012-11-01,54.2
2012-12-01,54.317
2013-01-01,54.506
2013-02-01,54.581
2013-03-01,54.583
2013-04-01,55.04
2013-05-01,55.151
2013-06-01,54.98
2013-07-01,55.369
2013-08-01,55.66
2013-09-01,55.773
2013-10-01,55.874
2013-11-01,55.912
2013-12-01,56.036
2014-01-01,56.326
2014-02-01,56.471
2014-03-01,56.612
2014-04-01,56.766
2014-05-01,56.975
2014-06-01,57.247
2014-07-01,56.815
2014-08-01,56.879
2014-09-01,56.994
2014-10-01,57.306
2014-11-01,57.433
2014-12-01,57.671
2015-01-01,57.715
2015-02-01,57.948
2015-03-01,58.055
2015-04-01,58.087
2015-05-01,58.333
2015-06-01,58.597
2015-07-01,58.836
2015-08-01,59.073
2015-09-01,59.167
2015-10-01,59.282
2015-11-01,59.519
2015-12-01,59.737
2016-01-01,60.063
2016-02-01,59.981
2016-03-01,60.124
2016-04-01,60.041
2016-05-01,60.14
2016-06-01,60.712
2016-07-01,60.699
2016-08-01,61.101
2016-09-01,61.222
2016-10-01,61.387
2016-11-01,61.486
2016-12-01,62.001
2017-01-01,62.092
2017-02-01,62.094
2017-03-01,62.293
2017-04-01,64.693
2017-05-01,64.703
2017-06-01,64.87
2017-07-01,64.993
2017-08-01,64.923
2017-09-01,65.067
2017-10-01,66.078
2017-11-01,66.096
2017-12-01,66.006
2018-01-01,66.213
2018-02-01,66.167
2018-03-01,65.985
2018-04-01,66.642
2018-05-01,66.818
2018-06-01,66.843
2018-07-01,67.022
2018-08-01,67.097
2018-09-01,67.155
2018-10-01,68.175
2018-11-01,68.322
