date,CUSR0000SEMD
1978-01-01,4.8
1978-02-01,4.8
1978-03-01,4.9
1978-04-01,4.9
1978-05-01,5.0
1978-06-01,5.0
1978-07-01,5.0
1978-08-01,5.1
1978-09-01,5.1
1978-10-01,5.2
1978-11-01,5.2
1978-12-01,5.2
1979-01-01,5.3
1979-02-01,5.3
1979-03-01,5.4
1979-04-01,5.4
1979-05-01,5.5
1979-06-01,5.5
1979-07-01,5.6
1979-08-01,5.6
1979-09-01,5.7
1979-10-01,5.7
1979-11-01,5.8
1979-12-01,5.8
1980-01-01,5.9
1980-02-01,6.0
1980-03-01,6.0
1980-04-01,6.1
1980-05-01,6.2
1980-06-01,6.3
1980-07-01,6.3
1980-08-01,6.4
1980-09-01,6.5
1980-10-01,6.6
1980-11-01,6.6
1980-12-01,6.7
1981-01-01,6.8
1981-02-01,6.8
1981-03-01,6.9
1981-04-01,7.0
1981-05-01,7.0
1981-06-01,7.1
1981-07-01,7.2
1981-08-01,7.3
1981-09-01,7.4
1981-10-01,7.5
1981-11-01,7.6
1981-12-01,7.7
1982-01-01,7.8
1982-02-01,7.8
1982-03-01,7.9
1982-04-01,8.0
1982-05-01,8.1
1982-06-01,8.2
1982-07-01,8.3
1982-08-01,8.3
1982-09-01,8.4
1982-10-01,8.5
1982-11-01,8.6
1982-12-01,8.6
1983-01-01,8.7
1983-02-01,8.8
1983-03-01,8.9
1983-04-01,9.0
1983-05-01,9.0
1983-06-01,9.1
1983-07-01,9.2
1983-08-01,9.3
1983-09-01,9.3
1983-10-01,9.4
1983-11-01,9.4
1983-12-01,9.5
1984-01-01,9.6
1984-02-01,9.7
1984-03-01,9.7
1984-04-01,9.8
1984-05-01,9.8
1984-06-01,9.9
1984-07-01,10.0
1984-08-01,10.0
1984-09-01,10.0
1984-10-01,10.1
1984-11-01,10.2
1984-12-01,10.3
1985-01-01,10.3
1985-02-01,10.3
1985-03-01,10.4
1985-04-01,10.5
1985-05-01,10.5
1985-06-01,10.6
1985-07-01,10.6
1985-08-01,10.6
1985-09-01,10.7
1985-10-01,10.7
1985-11-01,10.7
1985-12-01,10.8
1986-01-01,10.8
1986-02-01,10.9
1986-03-01,11.0
1986-04-01,11.0
1986-05-01,11.1
1986-06-01,11.2
1986-07-01,11.2
1986-08-01,11.3
1986-09-01,11.3
1986-10-01,11.4
1986-11-01,11.5
1986-12-01,11.6
1987-01-01,11.6
1987-02-01,11.6
1987-03-01,11.7
1987-04-01,11.8
1987-05-01,11.9
1987-06-01,12.0
1987-07-01,12.0
1987-08-01,12.1
1987-09-01,12.1
1987-10-01,12.2
1987-11-01,12.3
1987-12-01,12.4
1988-01-01,12.5
1988-02-01,12.6
1988-03-01,12.7
1988-04-01,12.8
1988-05-01,12.9
1988-06-01,13.0
1988-07-01,13.1
1988-08-01,13.2
1988-09-01,13.4
1988-10-01,13.5
1988-11-01,13.6
1988-12-01,13.7
1989-01-01,13.9
1989-02-01,14.0
1989-03-01,14.1
1989-04-01,14.2
1989-05-01,14.4
1989-06-01,14.5
1989-07-01,14.6
1989-08-01,14.8
1989-09-01,15.0
1989-10-01,15.1
1989-11-01,15.2
1989-12-01,15.3
1990-01-01,15.4
1990-02-01,15.5
1990-03-01,15.7
1990-04-01,15.8
1990-05-01,15.9
1990-06-01,16.1
1990-07-01,16.2
1990-08-01,16.4
1990-09-01,16.6
1990-10-01,16.7
1990-11-01,16.9
1990-12-01,17.0
1991-01-01,17.2
1991-02-01,17.3
1991-03-01,17.4
1991-04-01,17.5
1991-05-01,17.6
1991-06-01,17.8
1991-07-01,17.9
1991-08-01,18.0
1991-09-01,18.1
1991-10-01,18.2
1991-11-01,18.4
1991-12-01,18.5
1992-01-01,18.7
1992-02-01,18.8
1992-03-01,19.0
1992-04-01,19.1
1992-05-01,19.3
1992-06-01,19.4
1992-07-01,19.5
1992-08-01,19.6
1992-09-01,19.8
1992-10-01,19.9
1992-11-01,20.1
1992-12-01,20.2
1993-01-01,20.3
1993-02-01,20.5
1993-03-01,20.6
1993-04-01,20.8
1993-05-01,21.0
1993-06-01,21.1
1993-07-01,21.2
1993-08-01,21.3
1993-09-01,21.4
1993-10-01,21.5
1993-11-01,21.6
1993-12-01,21.7
1994-01-01,21.8
1994-02-01,21.9
1994-03-01,22.0
1994-04-01,22.1
1994-05-01,22.2
1994-06-01,22.3
1994-07-01,22.4
1994-08-01,22.5
1994-09-01,22.6
1994-10-01,22.7
1994-11-01,22.8
1994-12-01,22.9
1995-01-01,23.0
1995-02-01,23.1
1995-03-01,23.1
1995-04-01,23.2
1995-05-01,23.3
1995-06-01,23.3
1995-07-01,23.4
1995-08-01,23.6
1995-09-01,23.7
1995-10-01,23.8
1995-11-01,23.9
1995-12-01,23.9
1996-01-01,24.0
1996-02-01,24.1
1996-03-01,24.2
1996-04-01,24.3
1996-05-01,24.4
1996-06-01,24.5
1996-07-01,24.6
1996-08-01,24.6
1996-09-01,24.7
1996-10-01,24.8
1996-11-01,24.8
1996-12-01,24.9
1997-01-01,25.0
1997-02-01,25.0
1997-03-01,25.1
1997-04-01,25.2
1997-05-01,25.3
1997-06-01,25.3
1997-07-01,25.3
1997-08-01,25.3
1997-09-01,25.4
1997-10-01,25.5
1997-11-01,25.6
1997-12-01,25.7
1998-01-01,25.7
1998-02-01,25.8
1998-03-01,25.9
1998-04-01,26.0
1998-05-01,26.0
1998-06-01,26.0
1998-07-01,26.2
1998-08-01,26.3
1998-09-01,26.3
1998-10-01,26.4
1998-11-01,26.5
1998-12-01,26.6
1999-01-01,26.7
1999-02-01,26.8
1999-03-01,26.9
1999-04-01,26.9
1999-05-01,27.1
1999-06-01,27.1
1999-07-01,27.2
1999-08-01,27.4
1999-09-01,27.5
1999-10-01,27.6
1999-11-01,27.7
1999-12-01,27.9
2000-01-01,28.0
2000-02-01,28.1
2000-03-01,28.2
2000-04-01,28.4
2000-05-01,28.6
2000-06-01,28.8
2000-07-01,29.0
2000-08-01,29.2
2000-09-01,29.3
2000-10-01,29.5
2000-11-01,29.5
2000-12-01,29.6
2001-01-01,29.8
2001-02-01,30.0
2001-03-01,30.2
2001-04-01,30.3
2001-05-01,30.5
2001-06-01,30.7
2001-07-01,30.8
2001-08-01,31.0
2001-09-01,31.2
2001-10-01,31.4
2001-11-01,31.5
2001-12-01,31.7
2002-01-01,32.0
2002-02-01,32.3
2002-03-01,32.6
2002-04-01,32.9
2002-05-01,33.2
2002-06-01,33.3
2002-07-01,33.5
2002-08-01,33.8
2002-09-01,34.0
2002-10-01,34.3
2002-11-01,34.6
2002-12-01,34.8
2003-01-01,35.0
2003-02-01,35.1
2003-03-01,35.2
2003-04-01,35.3
2003-05-01,35.4
2003-06-01,35.7
2003-07-01,36.0
2003-08-01,36.2
2003-09-01,36.4
2003-10-01,36.5
2003-11-01,36.8
2003-12-01,37.1
2004-01-01,37.1
2004-02-01,37.3
2004-03-01,37.4
2004-04-01,37.5
2004-05-01,37.7
2004-06-01,38.0
2004-07-01,38.2
2004-08-01,38.2
2004-09-01,38.4
2004-10-01,38.6
2004-11-01,38.6
2004-12-01,39.0
2005-01-01,39.1
2005-02-01,39.3
2005-03-01,39.5
2005-04-01,39.7
2005-05-01,39.8
2005-06-01,39.9
2005-07-01,40.1
2005-08-01,40.1
2005-09-01,40.2
2005-10-01,40.5
2005-11-01,40.8
2005-12-01,41.0
2006-01-01,41.1
2006-02-01,41.6
2006-03-01,41.8
2006-04-01,42.1
2006-05-01,42.3
2006-06-01,42.6
2006-07-01,42.7
2006-08-01,43.0
2006-09-01,43.1
2006-10-01,43.3
2006-11-01,43.5
2006-12-01,43.6
2007-01-01,43.76
2007-02-01,44.009
2007-03-01,44.234
2007-04-01,44.527
2007-05-01,44.837
2007-06-01,45.068
2007-07-01,45.474
2007-08-01,45.735
2007-09-01,46.072
2007-10-01,46.531
2007-11-01,46.886
2007-12-01,47.138
2008-01-01,47.514
2008-02-01,47.62
2008-03-01,47.764
2008-04-01,47.959
2008-05-01,48.17
2008-06-01,48.399
2008-07-01,48.592
2008-08-01,48.877
2008-09-01,49.124
2008-10-01,49.34
2008-11-01,49.423
2008-12-01,49.685
2009-01-01,50.071
2009-02-01,50.35
2009-03-01,50.681
2009-04-01,51.141
2009-05-01,51.217
2009-06-01,51.378
2009-07-01,51.763
2009-08-01,52.031
2009-09-01,52.292
2009-10-01,52.466
2009-11-01,52.924
2009-12-01,53.162
2010-01-01,53.447
2010-02-01,53.966
2010-03-01,54.524
2010-04-01,54.717
2010-05-01,54.921
2010-06-01,55.181
2010-07-01,55.027
2010-08-01,55.322
2010-09-01,56.135
2010-10-01,56.465
2010-11-01,56.417
2010-12-01,56.743
2011-01-01,56.897
2011-02-01,57.136
2011-03-01,57.275
2011-04-01,57.629
2011-05-01,57.998
2011-06-01,58.179
2011-07-01,58.412
2011-08-01,58.771
2011-09-01,58.871
2011-10-01,59.255
2011-11-01,59.606
2011-12-01,59.754
2012-01-01,59.947
2012-02-01,59.949
2012-03-01,60.058
2012-04-01,60.4
2012-05-01,60.721
2012-06-01,61.284
2012-07-01,61.56
2012-08-01,61.352
2012-09-01,61.588
2012-10-01,61.72
2012-11-01,62.105
2012-12-01,62.461
2013-01-01,62.577
2013-02-01,62.948
2013-03-01,63.224
2013-04-01,62.875
2013-05-01,62.942
2013-06-01,63.317
2013-07-01,63.551
2013-08-01,64.554
2013-09-01,64.821
2013-10-01,64.706
2013-11-01,64.66
2013-12-01,64.888
2014-01-01,65.301
2014-02-01,65.737
2014-03-01,66.225
2014-04-01,66.384
2014-05-01,66.574
2014-06-01,66.695
2014-07-01,66.868
2014-08-01,66.895
2014-09-01,67.121
2014-10-01,67.291
2014-11-01,67.515
2014-12-01,67.917
2015-01-01,67.984
2015-02-01,67.858
2015-03-01,68.292
2015-04-01,69.216
2015-05-01,69.571
2015-06-01,69.061
2015-07-01,69.069
2015-08-01,69.144
2015-09-01,69.271
2015-10-01,70.504
2015-11-01,70.469
2015-12-01,70.579
2016-01-01,70.916
2016-02-01,71.264
2016-03-01,71.262
2016-04-01,71.382
2016-05-01,71.792
2016-06-01,71.881
2016-07-01,72.167
2016-08-01,73.152
2016-09-01,73.192
2016-10-01,73.337
2016-11-01,73.374
2016-12-01,73.614
2017-01-01,73.693
2017-02-01,74.227
2017-03-01,74.501
2017-04-01,75.063
2017-05-01,75.165
2017-06-01,75.704
2017-07-01,75.978
2017-08-01,76.11
2017-09-01,76.327
2017-10-01,76.609
2017-11-01,76.772
2017-12-01,77.066
2018-01-01,77.919
2018-02-01,78.206
2018-03-01,78.441
2018-04-01,78.543
2018-05-01,78.635
2018-06-01,79.014
2018-07-01,79.169
2018-08-01,78.957
2018-09-01,78.95
2018-10-01,79.021
2018-11-01,79.329
2018-12-01,79.483
2019-01-01,79.818
2019-02-01,79.863
