date,W209RC1
1959-01-01,278.0
1959-02-01,279.3
1959-03-01,281.9
1959-04-01,284.4
1959-05-01,286.6
1959-06-01,288.3
1959-07-01,288.2
1959-08-01,286.2
1959-09-01,286.4
1959-10-01,287.2
1959-11-01,289.5
1959-12-01,293.9
1960-01-01,297.9
1960-02-01,298.8
1960-03-01,299.5
1960-04-01,301.2
1960-05-01,302.0
1960-06-01,302.0
1960-07-01,302.9
1960-08-01,302.4
1960-09-01,302.5
1960-10-01,303.6
1960-11-01,302.5
1960-12-01,300.2
1961-01-01,302.7
1961-02-01,302.8
1961-03-01,303.9
1961-04-01,305.1
1961-05-01,307.1
1961-06-01,309.8
1961-07-01,311.1
1961-08-01,312.7
1961-09-01,313.2
1961-10-01,316.2
1961-11-01,319.4
1961-12-01,321.2
1962-01-01,322.8
1962-02-01,325.3
1962-03-01,328.3
1962-04-01,330.8
1962-05-01,331.4
1962-06-01,332.1
1962-07-01,333.2
1962-08-01,333.7
1962-09-01,335.8
1962-10-01,336.0
1962-11-01,337.9
1962-12-01,339.1
1963-01-01,341.0
1963-02-01,342.6
1963-03-01,344.4
1963-04-01,345.1
1963-05-01,347.3
1963-06-01,350.2
1963-07-01,350.7
1963-08-01,352.4
1963-09-01,354.8
1963-10-01,357.0
1963-11-01,358.1
1963-12-01,361.1
1964-01-01,361.6
1964-02-01,366.0
1964-03-01,368.0
1964-04-01,370.4
1964-05-01,372.8
1964-06-01,374.7
1964-07-01,377.4
1964-08-01,380.4
1964-09-01,382.3
1964-10-01,382.3
1964-11-01,385.9
1964-12-01,390.1
1965-01-01,390.7
1965-02-01,393.0
1965-03-01,395.1
1965-04-01,396.9
1965-05-01,400.5
1965-06-01,402.4
1965-07-01,405.5
1965-08-01,408.3
1965-09-01,411.3
1965-10-01,416.8
1965-11-01,420.4
1965-12-01,424.1
1966-01-01,429.0
1966-02-01,433.3
1966-03-01,437.0
1966-04-01,440.9
1966-05-01,444.0
1966-06-01,448.4
1966-07-01,452.6
1966-08-01,455.9
1966-09-01,458.5
1966-10-01,461.7
1966-11-01,464.0
1966-12-01,465.7
1967-01-01,469.2
1967-02-01,469.4
1967-03-01,471.5
1967-04-01,473.5
1967-05-01,474.7
1967-06-01,478.7
1967-07-01,481.9
1967-08-01,485.8
1967-09-01,488.1
1967-10-01,490.6
1967-11-01,496.7
1967-12-01,501.4
1968-01-01,504.9
1968-02-01,511.9
1968-03-01,515.8
1968-04-01,519.0
1968-05-01,524.3
1968-06-01,528.7
1968-07-01,533.5
1968-08-01,537.6
1968-09-01,542.4
1968-10-01,545.9
1968-11-01,550.8
1968-12-01,554.3
1969-01-01,558.5
1969-02-01,561.9
1969-03-01,567.9
1969-04-01,571.8
1969-05-01,576.6
1969-06-01,581.7
1969-07-01,588.5
1969-08-01,593.8
1969-09-01,598.0
1969-10-01,601.4
1969-11-01,604.9
1969-12-01,608.5
1970-01-01,611.4
1970-02-01,614.6
1970-03-01,618.8
1970-04-01,617.4
1970-05-01,619.9
1970-06-01,623.4
1970-07-01,627.0
1970-08-01,629.0
1970-09-01,628.6
1970-10-01,627.1
1970-11-01,628.7
1970-12-01,634.3
1971-01-01,644.5
1971-02-01,647.8
1971-03-01,651.4
1971-04-01,655.0
1971-05-01,660.8
1971-06-01,663.6
1971-07-01,665.7
1971-08-01,670.3
1971-09-01,674.3
1971-10-01,676.6
1971-11-01,680.1
1971-12-01,689.9
1972-01-01,700.8
1972-02-01,709.5
1972-03-01,714.8
1972-04-01,718.4
1972-05-01,722.1
1972-06-01,726.9
1972-07-01,728.9
1972-08-01,736.0
1972-09-01,742.3
1972-10-01,752.6
1972-11-01,758.4
1972-12-01,765.3
1973-01-01,777.8
1973-02-01,786.4
1973-03-01,792.0
1973-04-01,797.8
1973-05-01,802.9
1973-06-01,809.0
1973-07-01,815.5
1973-08-01,819.3
1973-09-01,826.5
1973-10-01,834.2
1973-11-01,843.0
1973-12-01,847.9
1974-01-01,853.3
1974-02-01,858.6
1974-03-01,863.1
1974-04-01,868.6
1974-05-01,879.3
1974-06-01,887.6
1974-07-01,892.7
1974-08-01,900.0
1974-09-01,907.9
1974-10-01,915.6
1974-11-01,911.8
1974-12-01,914.1
1975-01-01,917.5
1975-02-01,916.7
1975-03-01,920.9
1975-04-01,922.6
1975-05-01,931.7
1975-06-01,939.2
1975-07-01,944.6
1975-08-01,958.4
1975-09-01,965.0
1975-10-01,974.8
1975-11-01,983.8
1975-12-01,991.5
1976-01-01,1008.0
1976-02-01,1015.4
1976-03-01,1020.7
1976-04-01,1028.6
1976-05-01,1037.0
1976-06-01,1040.9
1976-07-01,1049.1
1976-08-01,1059.5
1976-09-01,1066.5
1976-10-01,1073.2
1976-11-01,1085.9
1976-12-01,1095.3
1977-01-01,1100.2
1977-02-01,1114.0
1977-03-01,1125.6
1977-04-01,1137.1
1977-05-01,1151.1
1977-06-01,1162.6
1977-07-01,1172.7
1977-08-01,1180.1
1977-09-01,1193.6
1977-10-01,1208.7
1977-11-01,1218.1
1977-12-01,1226.1
1978-01-01,1236.6
1978-02-01,1249.2
1978-03-01,1267.0
1978-04-01,1287.6
1978-05-01,1296.8
1978-06-01,1313.1
1978-07-01,1325.4
1978-08-01,1335.9
1978-09-01,1349.3
1978-10-01,1367.2
1978-11-01,1379.3
1978-12-01,1394.0
1979-01-01,1407.7
1979-02-01,1421.4
1979-03-01,1438.5
1979-04-01,1440.5
1979-05-01,1453.5
1979-06-01,1470.3
1979-07-01,1484.6
1979-08-01,1495.6
1979-09-01,1509.9
1979-10-01,1519.9
1979-11-01,1534.6
1979-12-01,1550.3
1980-01-01,1558.9
1980-02-01,1572.9
1980-03-01,1588.9
1980-04-01,1595.0
1980-05-01,1596.1
1980-06-01,1606.4
1980-07-01,1610.5
1980-08-01,1629.9
1980-09-01,1645.4
1980-10-01,1668.4
1980-11-01,1689.8
1980-12-01,1704.7
1981-01-01,1728.2
1981-02-01,1738.2
1981-03-01,1752.5
1981-04-01,1763.7
1981-05-01,1773.1
1981-06-01,1787.4
1981-07-01,1800.7
1981-08-01,1819.1
1981-09-01,1825.4
1981-10-01,1834.8
1981-11-01,1843.4
1981-12-01,1843.8
1982-01-01,1856.3
1982-02-01,1867.5
1982-03-01,1870.2
1982-04-01,1872.6
1982-05-01,1887.6
1982-06-01,1892.9
1982-07-01,1900.2
1982-08-01,1907.6
1982-09-01,1906.5
1982-10-01,1910.7
1982-11-01,1915.8
1982-12-01,1928.0
1983-01-01,1944.9
1983-02-01,1941.7
1983-03-01,1955.0
1983-04-01,1969.5
1983-05-01,1987.2
1983-06-01,2002.2
1983-07-01,2020.3
1983-08-01,2024.6
1983-09-01,2044.0
1983-10-01,2075.6
1983-11-01,2084.1
1983-12-01,2100.8
1984-01-01,2129.5
1984-02-01,2143.6
1984-03-01,2158.4
1984-04-01,2183.8
1984-05-01,2190.1
1984-06-01,2211.5
1984-07-01,2228.9
1984-08-01,2237.7
1984-09-01,2258.2
1984-10-01,2263.0
1984-11-01,2282.5
1984-12-01,2303.2
1985-01-01,2307.5
1985-02-01,2318.9
1985-03-01,2344.2
1985-04-01,2345.5
1985-05-01,2361.6
1985-06-01,2383.9
1985-07-01,2388.0
1985-08-01,2405.7
1985-09-01,2425.5
1985-10-01,2439.9
1985-11-01,2449.8
1985-12-01,2477.4
1986-01-01,2477.3
1986-02-01,2488.5
1986-03-01,2507.5
1986-04-01,2505.6
1986-05-01,2516.2
1986-06-01,2529.9
1986-07-01,2540.6
1986-08-01,2557.2
1986-09-01,2568.0
1986-10-01,2589.9
1986-11-01,2608.0
1986-12-01,2616.3
1987-01-01,2627.3
1987-02-01,2648.6
1987-03-01,2667.4
1987-04-01,2674.8
1987-05-01,2695.3
1987-06-01,2706.0
1987-07-01,2717.7
1987-08-01,2747.9
1987-09-01,2755.2
1987-10-01,2783.9
1987-11-01,2802.8
1987-12-01,2842.0
1988-01-01,2837.9
1988-02-01,2858.7
1988-03-01,2876.1
1988-04-01,2905.6
