,block,first_obs
cpi_1m,infl,1985-01-01
cpi_3m,infl,1985-01-01
cpi_6m,infl,1985-01-01
cpi_12m,infl,1985-01-01
cpi_core_1m,infl,1985-01-01
cpi_core_3m,infl,1985-01-01
cpi_core_6m,infl,1985-01-01
cpi_core_12m,infl,1985-01-01
pce_1m,infl,1985-01-01
pce_3m,infl,1985-01-01
pce_6m,infl,1985-01-01
pce_12m,infl,1985-01-01
pce_core_1m,infl,1985-01-01
pce_core_3m,infl,1985-01-01
pce_core_6m,infl,1985-01-01
pce_core_12m,infl,1985-01-01
pce_core_24m,infl,1985-01-01
cpi_svc_xe_1m,infl,1985-01-01
cpi_svc_xe_3m,infl,1985-01-01
cpi_svc_xe_6m,infl,1985-01-01
cpi_svc_xe_12m,infl,1985-01-01
pce_svc_1m,infl,1985-01-01
pce_svc_3m,infl,1985-01-01
pce_svc_6m,infl,1985-01-01
pce_svc_12m,infl,1985-01-01
cpi_median_1m,infl,1985-01-01
cpi_median_3m,infl,1985-01-01
cpi_median_6m,infl,1985-01-01
cpi_median_12m,infl,1985-01-01
cpi_trim_1m,infl,1985-01-01
cpi_trim_3m,infl,1985-01-01
cpi_trim_6m,infl,1985-01-01
cpi_trim_12m,infl,1985-01-01
pce_trim_1m,infl,1985-01-01
pce_trim_3m,infl,1985-01-01
pce_trim_6m,infl,1985-01-01
pce_trim_12m,infl,1985-01-01
cpi_sticky_1m,infl,1985-01-01
cpi_sticky_3m,infl,1985-01-01
cpi_sticky_6m,infl,1985-01-01
cpi_sticky_12m,infl,1985-01-01
cpi_core_sticky_1m,infl,1985-01-01
cpi_core_sticky_3m,infl,1985-01-01
cpi_core_sticky_6m,infl,1985-01-01
cpi_core_sticky_12m,infl,1985-01-01
cpi_flex_1m,infl,1985-01-01
cpi_flex_3m,infl,1985-01-01
cpi_flex_6m,infl,1985-01-01
cpi_flex_12m,infl,1985-01-01
cpi_core_flex_1m,infl,1985-01-01
cpi_core_flex_3m,infl,1985-01-01
cpi_core_flex_6m,infl,1985-01-01
cpi_core_flex_12m,infl,1985-01-01
share_gt0_3m,dist,1985-01-01
share_gt2_3m,dist,1985-01-01
share_gt3_3m,dist,1985-01-01
share_gt4_3m,dist,1985-01-01
share_gt5_3m,dist,1985-01-01
share_accel_3m,dist,1985-01-01
share_decel_3m,dist,1985-01-01
xs_sd_3m,dist,1985-01-01
xs_iqr_3m,dist,1985-01-01
xs_p90_p10_3m,dist,1985-01-01
xs_skew_3m,dist,1985-01-01
xs_median_3m,dist,1985-01-01
upper_tail_share_3m,dist,1985-01-01
share_gt0_6m,dist,1985-01-01
share_gt2_6m,dist,1985-01-01
share_gt3_6m,dist,1985-01-01
share_gt4_6m,dist,1985-01-01
share_gt5_6m,dist,1985-01-01
share_accel_6m,dist,1985-01-01
share_decel_6m,dist,1985-01-01
xs_sd_6m,dist,1985-01-01
xs_iqr_6m,dist,1985-01-01
xs_p90_p10_6m,dist,1985-01-01
xs_skew_6m,dist,1985-01-01
xs_median_6m,dist,1985-01-01
upper_tail_share_6m,dist,1985-01-01
share_gt0_12m,dist,1985-01-01
share_gt2_12m,dist,1985-01-01
share_gt3_12m,dist,1985-01-01
share_gt4_12m,dist,1985-01-01
share_gt5_12m,dist,1985-01-01
share_accel_12m,dist,1985-01-01
share_decel_12m,dist,1985-01-01
xs_sd_12m,dist,1985-01-01
xs_iqr_12m,dist,1985-01-01
xs_p90_p10_12m,dist,1985-01-01
xs_skew_12m,dist,1985-01-01
xs_median_12m,dist,1985-01-01
upper_tail_share_12m,dist,1985-01-01
mich_1y,exp,1985-01-01
clev_1y,exp,1985-01-01
clev_10y,exp,1985-01-01
bei_5y,exp,2003-01-01
bei_10y,exp,2003-01-01
bei_5y5y,exp,2003-01-01
spf_cpi_4q,exp,1991-10-01
spf_cpi_4q_iqr,exp,1991-10-01
spf_cpi_4q_sd,exp,1991-10-01
spf_cpi_10y,exp,1991-10-01
unrate,dem,1985-01-01
payrolls_3m,dem,1985-01-01
payrolls_12m,dem,1985-01-01
claims_log,dem,1985-01-01
vu_ratio,dem,2000-12-01
quits,dem,2000-12-01
ahe_12m,dem,1985-01-01
ahe_3m,dem,1985-01-01
eci_wages_yoy,dem,2002-01-01
comp_12m,dem,1985-01-01
real_pce_6m,dem,1985-01-01
real_pce_12m,dem,1985-01-01
real_retail_6m,dem,1992-07-01
ip_6m,dem,1985-01-01
ip_12m,dem,1985-01-01
capu,dem,1985-01-01
real_inv_yoy,dem,1985-01-01
gdp_yoy,dem,1985-01-01
sentiment,dem,1985-01-01
fedfunds,fin,1985-01-01
dgs2,fin,1985-01-01
dgs10,fin,1985-01-01
real_10y_tips,fin,2003-01-01
real_10y_clev,fin,1985-01-01
nfci,fin,1985-01-01
anfci,fin,1985-01-01
vix,fin,1990-01-01
baa_spread,fin,1986-01-01
gz_spread,fin,1985-01-01
ebp,fin,1985-01-01
term_premium_10y,fin,1990-01-01
equity_12m_ret,fin,1985-01-01
equity_3m_ret,fin,1985-01-01
usd_12m,fin,1985-01-01
oil_12m,fin,1985-01-01
oil_3m,fin,1985-01-01
ppi_comm_12m,fin,1985-01-01
sloos_ci,fin,1990-04-01
mortgage30,fin,1985-01-01
